player_id,player_name,shoots,draft_team_name,experience,nba_debut,position_1,position_2,position_3,position_4,position_5,position_6,draft_year,height_cm,weight_kg,age,draft_round_pick_rank,draft_overall_pick_rank,career_points,career_total_rebound_pct,career_assists_pct,career_field_goal_pct,career_three_point_pct,career_free_throw_pct,career_effective_fg_pct,career_per,career_win_shares
duvaltr01,trevon duval,right,nba draft,1.0,2019,point guard,,,,,,2023,188.0,86.0,27,,,,,,,,,,,
pattoju01,justin patton,right,chicago bulls,,2018,center,,,,,,2017,211.0,109.0,28,16,16,,,,,,,,,
mccalta01,tahjere mccall,right,nba draft,,2019,shooting guard,,,,,,2023,196.0,88.0,31,,,,,,,,,,,
delgaan01,ãngel delgado,right,nba draft,,2019,center,,,,,,2023,208.0,111.0,31,,,,,,,,,,,
edwarvi01,vince edwards,right,utah jazz,1.0,2018,small forward,,,,,,2018,203.0,102.0,29,22,52,,,,,,,,,
siberjo01,jordan sibert,right,nba draft,,2019,shooting guard,,,,,,2023,193.0,85.0,33,,,,,,,,,,,
antetko01,kostas antetokounmpo,right,philadelphia 76ers,3.0,2019,power forward,small forward,,,,,2018,208.0,91.0,28,30,60,,,,,,,,,
chealjo01,joe chealey,right,nba draft,,2019,point guard,,,,,,2023,190.0,86.0,30,,,,,,,,,,,
joneste01,terrence jones,left,houston rockets,,2012,power forward,,,,,,2012,206.0,114.0,33,18,18,,,,,,,,,
lucaska01,kalin lucas,right,nba draft,,2014,point guard,,,,,,2023,185.0,88.0,36,,,,,,,,,,,
matenya01,yante maten,right,nba draft,,2019,power forward,,,,,,2023,203.0,109.0,29,,,,,,,,,,,
qizh01,zhou qi,right,houston rockets,,2017,power forward,center,,,,,2016,216.0,95.0,29,13,43,,,,,,,,,
stephdj01,d.j. stephens,right,nba draft,,2014,shooting guard,,,,,,2023,196.0,85.0,35,,,,,,,,,,,
anigbik01,ike anigbogu,right,indiana pacers,,2017,center,,,,,,2017,208.0,113.0,27,17,47,,,,,,,,,
davisty01,tyler davis,right,nba draft,,2018,center,,,,,,2023,208.0,120.0,28,,,,,,,,,,,
grantdo01,donte grantham,right,nba draft,,2019,small forward,,,,,,2023,203.0,97.0,30,,,,,,,,,,,
hollajo02,john holland,right,nba draft,,2016,small forward,,,,,,2023,196.0,93.0,37,,,,,,,,,,,
ingraan01,andre ingram,right,nba draft,,2018,shooting guard,,,,,,2023,190.0,86.0,40,,,,,,,,,,,
kingge03,george king,right,phoenix suns,2.0,2018,small forward,,,,,,2018,198.0,102.0,31,29,59,,,,,,,,,
loftoza01,zach lofton,right,nba draft,,2018,shooting guard,,,,,,2023,193.0,82.0,33,,,,,,,,,,,
simmoko01,kobi simmons,right,nba draft,4.0,2017,point guard,shooting guard,,,,,2023,196.0,75.0,28,,,,,,,,,,,
ulisty01,tyler ulis,right,phoenix suns,,2016,point guard,,,,,,2016,178.0,72.0,29,4,34,,,,,,,,,
whiteok01,okaro white,right,nba draft,3.0,2017,power forward,small forward,,,,,2023,203.0,93.0,33,,,,,,,,,,,
moranja01,ja morant,right,memphis grizzlies,6.0,2019,point guard,,,,,,2019,188.0,79.0,26,2,2,22.6,4.7,7.4,46.9,31.6,76.6,50.8,20.2,24.1
porzikr01,kristaps porziåä£is,right,new york knicks,9.0,2015,center,power forward,,,,,2015,218.0,109.0,30,4,4,19.6,7.8,1.8,46.1,36.6,82.9,52.5,20.8,48.0
nunnke01,kendrick nunn,left,nba draft,3.0,2019,shooting guard,point guard,,,,,2023,188.0,86.0,30,,,,,,,,,,,
whiteco01,coby white,right,chicago bulls,6.0,2019,point guard,shooting guard,,,,,2019,196.0,88.0,25,7,7,15.2,3.6,3.8,43.3,36.9,86.5,52.7,13.4,17.9
pascher01,eric paschall,right,golden state warriors,3.0,2019,power forward,,,,,,2019,198.0,116.0,29,11,41,,,,,,,,,
barrerj01,rj barrett,left,new york knicks,6.0,2019,shooting guard,small forward,,,,,2019,198.0,97.0,25,3,3,18.8,5.6,3.3,44.1,34.6,69.7,49.4,13.9,13.3
huntede01,de'andre hunter,right,los angeles lakers,6.0,2019,small forward,,,,,,2019,203.0,102.0,28,4,4,14.8,4.1,1.5,45.2,37.3,81.9,53.0,12.0,12.1
herroty01,tyler herro,right,miami heat,6.0,2019,shooting guard,,,,,,2019,196.0,88.0,25,13,13,19.4,5.0,4.0,44.8,38.2,87.4,53.4,15.9,19.9
garlada01,darius garland,right,cleveland cavaliers,6.0,2019,point guard,shooting guard,,,,,2019,185.0,87.0,25,5,5,18.9,2.7,6.7,45.3,38.8,86.7,53.0,16.3,24.6
murrade01,dejounte murray,right,san antonio spurs,8.0,2016,point guard,shooting guard,,,,,2016,196.0,82.0,29,29,29,15.5,5.8,5.4,45.3,34.0,79.0,49.7,17.3,26.2
washipj01,p.j. washington,right,charlotte hornets,6.0,2019,power forward,center,,,,,2019,201.0,104.0,27,12,12,13.1,5.9,2.3,44.8,35.8,70.9,52.8,13.0,14.8
clarkbr01,brandon clarke,right,oklahoma city thunder,6.0,2019,power forward,,,,,,2019,203.0,97.0,29,21,21,10.2,5.5,1.3,60.6,26.6,69.8,61.7,19.8,24.6
hachiru01,rui hachimura,right,washington wizards,6.0,2019,power forward,,,,,,2019,203.0,104.0,27,9,9,12.8,4.9,1.3,49.6,38.1,76.4,55.1,13.5,15.6
reddica01,cam reddish,right,atlanta hawks,6.0,2019,small forward,,,,,,2019,203.0,99.0,26,10,10,8.5,2.7,1.2,39.8,32.2,82.1,47.2,9.6,3.3
culveja01,jarrett culver,right,phoenix suns,4.0,2019,shooting guard,small forward,,,,,2019,198.0,88.0,26,6,6,,,,,,,,,
daviste02,terence davis,right,nba draft,5.0,2019,shooting guard,,,,,,2023,193.0,91.0,28,,,8.0,2.7,1.3,43.3,36.6,82.6,54.2,13.3,5.3
willizi01,zion williamson,left,new orleans pelicans,5.0,2020,power forward,,,,,,2019,198.0,129.0,25,1,1,24.7,6.6,4.3,58.9,32.7,68.9,59.3,25.1,24.2
portemi01,michael porter jr.,right,denver nuggets,6.0,2019,small forward,,,,,,2018,208.0,99.0,27,14,14,16.2,6.4,1.4,50.0,40.6,79.5,59.9,17.1,26.5
johnsca02,cameron johnson,right,minnesota timberwolves,6.0,2019,power forward,,,,,,2019,203.0,95.0,29,11,11,12.9,3.9,2.0,45.3,39.2,85.1,57.2,15.1,22.9
poolejo01,jordan poole,right,golden state warriors,6.0,2019,shooting guard,point guard,,,,,2019,193.0,88.0,26,28,28,16.8,2.7,3.8,42.2,34.5,87.9,51.3,14.0,11.3
porteke02,kevin porter jr.,left,milwaukee bucks,5.0,2019,shooting guard,point guard,,small forward,,,2019,193.0,92.0,25,30,30,13.9,4.1,4.6,43.5,35.1,73.4,50.7,14.1,6.2
hayesja02,jaxson hayes,right,atlanta hawks,6.0,2019,center,,,,,,2019,213.0,100.0,25,8,8,6.8,3.9,0.7,64.9,26.1,69.6,65.9,16.8,20.1
mellini01,nicolã² melli,right,nba draft,,2019,power forward,center,,,,,2023,206.0,107.0,34,,,,,,,,,,,
bazleda01,darius bazley,left,utah jazz,5.0,2019,power forward,center,,,,,2019,203.0,94.0,25,23,23,,,,,,,,,
bowmaky01,ky bowman,right,nba draft,1.0,2019,point guard,,,,,,2023,185.0,85.0,28,,,,,,,,,,,
thybuma01,matisse thybulle,right,boston celtics,6.0,2019,shooting guard,small forward,,,,,2019,196.0,91.0,28,20,20,4.9,2.0,1.1,43.8,34.3,66.1,54.0,10.8,14.1
reidna01,naz reid,right,nba draft,6.0,2019,center,power forward,,,,,2023,206.0,120.0,26,,,11.6,4.9,1.3,48.7,37.3,72.8,56.5,16.8,20.7
alexani01,nickeil alexander-walker,right,brooklyn nets,6.0,2019,shooting guard,,,,,,2019,196.0,93.0,27,17,17,8.6,2.5,2.3,41.4,36.0,74.3,51.2,11.2,10.2
valende01,denzel valentine,right,chicago bulls,5.0,2016,shooting guard,small forward,,,,,2016,193.0,100.0,32,14,14,,,,,,,,,
dortlu01,luguentz dort,right,nba draft,6.0,2019,small forward,shooting guard,,,,,2023,193.0,100.0,26,,,12.2,3.9,1.6,40.8,36.0,79.0,50.7,11.0,15.6
doumbse01,sekou doumbouya,right,detroit pistons,3.0,2019,power forward,,,,,,2019,203.0,104.0,25,15,15,,,,,,,,,
fernabr01,bruno fernando,right,philadelphia 76ers,6.0,2019,center,,,,,,2019,206.0,109.0,27,4,34,4.0,3.2,0.7,54.3,12.2,65.3,54.8,13.9,3.8
martico01,cody martin,right,charlotte hornets,6.0,2019,small forward,,,,,,2019,196.0,93.0,30,6,36,6.2,3.7,2.2,43.6,30.8,66.1,49.6,11.2,7.2
willigr01,grant williams,right,boston celtics,6.0,2019,power forward,,,,,,2019,198.0,107.0,27,22,22,7.2,3.7,1.5,45.2,37.7,77.4,55.8,10.0,15.5
mclaujo01,jordan mclaughlin,right,nba draft,6.0,2019,point guard,,,,,,2023,183.0,84.0,29,,,4.1,1.4,2.8,44.5,37.3,74.3,53.4,13.5,9.6
gaffoda01,daniel gafford,right,chicago bulls,6.0,2019,center,power forward,,,,,2019,208.0,106.0,27,8,38,9.3,5.6,1.1,70.9,0.0,67.2,70.9,21.4,31.1
thomama02,matt thomas,right,nba draft,,2019,shooting guard,,,,,,2023,193.0,86.0,31,,,,,,,,,,,
martike03,kelan martin,right,nba draft,3.0,2019,small forward,,,,,,2023,196.0,104.0,30,,,,,,,,,,,
gudurma01,marko guduriä,left,nba draft,,2019,shooting guard,,,,,,2023,198.0,91.0,30,,,,,,,,,,,
bitadgo01,goga bitadze,right,indiana pacers,6.0,2019,center,,,,,,2019,211.0,113.0,26,18,18,5.4,4.1,1.2,54.1,23.0,66.2,56.5,17.4,14.9
littlna01,nassir little,right,portland trail blazers,5.0,2019,small forward,power forward,,,,,2019,196.0,100.0,25,25,25,,,,,,,,,
greenja02,javonte green,right,nba draft,6.0,2019,shooting guard,small forward,,,,,2023,193.0,93.0,32,,,5.3,3.1,0.7,50.9,33.8,74.7,57.0,13.2,10.5
clemoch01,chris clemons,right,nba draft,1.0,2019,shooting guard,,,,,,2023,175.0,82.0,28,,,,,,,,,,,
pasecan01,anå¾ejs paseäåiks,right,orlando magic,,2019,center,,,,,,2017,216.0,104.0,30,25,25,,,,,,,,,
johnske04,keldon johnson,right,san antonio spurs,6.0,2019,small forward,,,,,,2019,196.0,100.0,26,29,29,15.6,5.4,2.2,46.7,35.2,76.2,53.1,14.9,16.7
silvach01,chris silva,right,nba draft,4.0,2019,power forward,,,,,,2023,203.0,106.0,29,,,,,,,,,,,
edwarca01,carsen edwards,right,philadelphia 76ers,3.0,2019,shooting guard,,,,,,2019,180.0,91.0,27,3,33,,,,,,,,,
martica02,caleb martin,right,nba draft,6.0,2019,small forward,,,,,,2023,196.0,93.0,30,,,8.4,3.9,1.6,44.7,35.7,73.4,52.0,11.4,11.8
jeromty01,ty jerome,right,philadelphia 76ers,6.0,2019,shooting guard,,,,,,2019,196.0,88.0,28,24,24,8.7,2.0,2.8,45.8,38.1,85.0,54.7,15.0,9.9
mannte01,terance mann,right,los angeles clippers,6.0,2019,shooting guard,small forward,,,,,2019,196.0,97.0,29,18,48,8.1,3.5,1.9,50.2,37.2,78.1,56.7,12.8,21.5
