season,player_id,stint,is_primary,team_id,player_efficiency_rate,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player
2019,bridgmi01,1,True,pho,10.8,0.556,0.556,0.21,2.5,9.7,6.0,9.8,2.5,1.3,10.2,12.2,1.7,1.2,2.9,0.058,-2.0,0.4,-1.6,0.3
2019,bridgmi02,1,True,cho,13.1,0.548,0.391,0.151,4.2,16.6,10.3,8.1,1.6,2.5,8.4,15.1,1.4,1.5,2.9,0.083,-0.9,0.1,-0.8,0.5
2019,briscis01,1,True,orl,6.7,0.455,0.246,0.188,0.9,13.4,7.1,21.0,1.0,0.3,17.2,14.1,-0.3,0.5,0.3,0.023,-5.4,0.4,-5.0,-0.4
2019,broekry01,1,True,dal,10.7,0.621,0.738,0.151,1.9,12.9,7.4,7.2,0.6,0.8,10.6,14.3,0.5,0.3,0.8,0.086,-0.5,-0.5,-1.0,0.1
2019,brogdma01,1,True,mil,17.8,0.614,0.326,0.203,3.8,11.7,8.0,16.2,1.2,0.6,10.0,20.7,4.2,2.3,6.5,0.171,2.0,0.1,2.2,1.9
2019,brookdi01,1,True,mem,7.6,0.499,0.328,0.246,3.0,7.6,5.3,7.6,1.5,1.1,12.3,20.9,-0.3,0.3,0.0,-0.004,-5.0,-1.2,-6.3,-0.4
2019,brookma01,1,True,mem,11.6,0.518,0.32,0.195,3.4,9.7,6.5,11.0,1.2,1.0,10.3,23.6,-0.2,0.3,0.1,0.018,-1.9,-1.1,-3.0,-0.1
2019,brownbr01,1,True,det,6.9,0.469,0.296,0.191,3.5,10.7,7.0,8.8,1.4,2.1,11.9,11.5,-0.1,1.6,1.5,0.048,-4.4,1.0,-3.3,-0.5
2019,brownja02,1,True,bos,13.5,0.547,0.348,0.255,3.6,13.9,8.7,7.7,1.7,1.5,10.1,22.1,0.7,2.4,3.0,0.076,-1.6,-0.4,-2.1,0.0
2019,brownlo01,1,True,tor,6.3,0.38,0.394,0.042,2.6,12.9,7.9,17.3,2.7,2.0,18.1,17.9,-0.5,0.3,-0.1,-0.027,-5.4,1.9,-3.5,-0.1
2019,brownst02,1,True,mil,10.9,0.563,0.471,0.135,3.0,14.4,9.0,10.7,1.1,0.7,12.2,15.2,0.7,1.4,2.1,0.098,-1.8,0.3,-1.5,0.1
