,player_id,player_name,Position,Shoots,Height,Weight,Birthday,Birthmonth,Birthyear,College,Last Season Games,Last Season Points,Last Season Total Rebound Percentage,Last Season Assists Percentage,Last Season Field Goal Percentage,Last Season 3pt Field Goal Percentage,Last Season TFree Throw Percentage,Last Season Effective Field Goal Percentage,Experience,Career Games,Career Points,Career Total Rebound Percentage,Career Assists Percentage,Career Field Goal Percentage,Career 3pt Field Goal Percentage,Career Free Throw Percentage,Career Effective Field Goal Percentage
408,carlsbr01,Branden Carlson,Center,Right,7-0,220,14,June,1999,Utah,32,3.8,1.7,0.4,32,3.8,1.7,0.4,1,32,3.8,1.7,0.4,44.3,33.3,77.8,55.7
409,loveke01,Kevin Love,"Power Forward , Center",Right,6-8,251,7,September,1988,UCLA,23,5.3,4.1,1.0,23,5.3,4.1,1.0,17,952,16.2,10.0,2.3,43.8,36.9,82.8,51.0
410,wongis01,Isaiah Wong,Shooting Guard,Right,6-4,184,28,January,2001,"Miami,(FL)",20,6.0,1.6,1.4,20,6.0,1.6,1.4,2,21,5.8,1.5,1.3,38.9,38.2,73.5,44.9
411,minotjo01,Josh Minott,Small Forward,Right,6-8,205,25,November,2002,Memphis,46,2.6,1.0,0.4,46,2.6,1.0,0.4,3,93,2.3,1.0,0.3,48.8,33.9,90.2,54.9
412,rhodeja01,Jared Rhoden,Shooting Guard,Right,6-6,210,27,August,1999,"Seton,Hall",14,8.4,3.0,1.1,14,8.4,3.0,1.1,3,45,5.5,2.5,0.8,46.7,32.2,84.6,54.1
413,williro04,Robert Williams,Center,Right,6-9,237,17,October,1997,"Texas,A&M",20,5.8,5.9,1.1,20,5.8,5.9,1.1,7,235,7.2,6.8,1.4,72.3,14.3,67.4,72.3
414,lewisma05,Maxwell Lewis,Small Forward,Right,6-7,195,27,July,2002,Pepperdine,28,4.1,2.0,0.7,28,4.1,2.0,0.7,2,62,2.0,1.0,0.4,38.0,33.9,69.2,45.7
415,whiteda01,Dariq Whitehead,Small Forward,Right,6-7,220,1,August,2004,Duke,20,5.7,1.5,0.6,20,5.7,1.5,0.6,2,22,5.3,1.5,0.7,39.6,42.9,57.1,55.9
416,poweldw01,Dwight Powell,"Center , Power Forward",Right,6-10,240,20,July,1991,Stanford,55,2.1,2.1,1.0,55,2.1,2.1,1.0,11,705,6.7,4.2,1.0,60.4,29.4,73.6,62.6
417,scheiba01,Baylor Scheierman,Shooting Guard,Left,6-6,205,26,September,2000,"South,Dakota,State",31,3.6,2.1,1.1,31,3.6,2.1,1.1,1,31,3.6,2.1,1.1,35.5,31.7,75.0,47.3
418,konchjo01,John Konchar,"Shooting Guard , Small Forward",Right,6-5,210,22,March,1996,"Purdue-Fort,Wayne",46,2.4,3.3,0.9,46,2.4,3.3,0.9,6,307,4.2,4.0,1.4,46.9,36.1,72.7,56.3
419,thybuma01,Matisse Thybulle,"Shooting Guard , Small Forward",Right,6-5,201,4,March,1997,Washington,15,7.5,3.5,1.9,15,7.5,3.5,1.9,6,347,4.9,2.0,1.1,43.8,34.3,66.1,54.0
420,millspa02,Patty Mills,"Point Guard , Shooting Guard",Right,6-2,180,11,August,1988,"Saint,Mary's",29,3.8,0.8,0.9,29,3.8,0.8,0.9,16,921,8.7,1.6,2.2,42.3,38.5,85.7,53.8
421,baughda01,Damion Baugh,Shooting Guard,Right,6-4,194,3,August,2000,Memphis,15,7.3,3.3,3.7,15,7.3,3.3,3.7,1,15,7.3,3.3,3.7,32.3,21.4,86.7,36.9
422,timmedr01,Drew Timme,Power Forward,Right,6-10,235,9,September,2000,Gonzaga,9,12.1,7.2,2.2,9,12.1,7.2,2.2,1,9,12.1,7.2,2.2,44.1,25.7,62.5,48.5
