player_id,player_name,Position,Shoots,Height,Weight,Birthday,Birthmonth,Birthyear,College,Draft,Draft Team,Draf Pick,Experience,NBA Debut
anderde01,Derek Anderson,"Shooting Guard, Small Forward, Point Guard",Right,6-5,194,18,July,1974,Ohio State,1997 NBA Draft,Cleveland Cavaliers,"1st round (13th pick, 13th overall)",,"October 31, 1997"
anderje01,Jerome Anderson,Shooting Guard,Right,6-5,195,9,October,1953,West Virginia,1975 NBA Draft,Boston Celtics,"3rd round (17th pick, 53rd overall)",,"December 12, 1975"
anderjj01,J.J. Anderson,Small Forward,Right,6-8,195,23,September,1960,Bradley,1982 NBA Draft,Philadelphia 76ers,"2nd round (13th pick, 36th overall)",,"October 29, 1982"
anderju01,Justin Anderson,"Small Forward, Shooting Guard",Left,6-6,230,19,November,1993,Virginia,2015 NBA Draft,Dallas Mavericks,"1st round (21st pick, 21st overall)",,"October 28, 2015"
anderky01,Kyle Anderson,"Small Forward, Power Forward",Right,6-8,230,20,September,1993,UCLA,2014 NBA Draft,San Antonio Spurs,"1st round (30th pick, 30th overall)",12.0,"November 6, 2014"
anderry01,Ryan Anderson,"Power Forward, Center",Right,6-9,240,6,May,1988,California,2008 NBA Draft,New Jersey Nets,"1st round (21st pick, 21st overall)",,"October 29, 2008"
andersh01,Shandon Anderson,"Shooting Guard, Small Forward",Right,6-6,208,31,December,1973,Georgia,1996 NBA Draft,Utah Jazz,"2nd round (25th pick, 54th overall)",,"November 1, 1996"
anigbik01,Ike Anigbogu,Center,Right,6-9,252,17,October,1998,UCLA,2017 NBA Draft,Indiana Pacers,"2nd round (17th pick, 47th overall)",,"October 20, 2017"
antetal01,Alex Antetokounmpo,Small Forward,Right,6-8,214,27,August,2001,,,,,1.0,"March 31, 2026"
antetgi01,Giannis Antetokounmpo,"Power Forward, Small Forward, Point Guard, Shooting Guard",Right,6-11,243,6,December,1994,,2013 NBA Draft,Milwaukee Bucks,"1st round (15th pick, 15th overall)",13.0,"October 30, 2013"
antetko01,Kostas Antetokounmpo,"Power Forward, Small Forward",Right,6-10,200,20,November,1997,Dayton,2018 NBA Draft,Philadelphia 76ers,"2nd round (30th pick, 60th overall)",3.0,"March 20, 2019"
antetth01,Thanasis Antetokounmpo,"Small Forward, Power Forward",Right,6-7,219,18,July,1992,,2014 NBA Draft,New York Knicks,"2nd round (21st pick, 51st overall)",7.0,"January 29, 2016"
anthoca01,Carmelo Anthony,"Small Forward, Power Forward",Right,6-7,238,29,May,1984,Syracuse,2003 NBA Draft,Denver Nuggets,"1st round (3rd pick, 3rd overall)",,"October 29, 2003"
anthoco01,Cole Anthony,Point Guard,Right,6-2,185,15,May,2000,UNC,2020 NBA Draft,Orlando Magic,"1st round (15th pick, 15th overall)",6.0,"December 23, 2020"
anthojo01,Joel Anthony,"Center, Power Forward",Left,6-9,245,9,August,1982,UNLV,,,,,"November 27, 2007"
anunoog01,OG Anunoby,"Small Forward, Power Forward",Right,6-7,240,17,July,1997,Indiana,2017 NBA Draft,Toronto Raptors,"1st round (23rd pick, 23rd overall)",9.0,"October 19, 2017"
