player_id,player_name,Experience,Career Games,Career Points,Career Total Rebound Percentage,Career Assists Percentage,Career Field Goal Percentage,Career 3pt Field Goal Percentage,Career Free Throw Percentage,Career Effective Field Goal Percentage,Career Player Efficiency Rating,Career Win Shares
kabenmf01,Mfiondu Kabengele,3.0,55,2.6,1.5,0.3,38.3,30.1,85.2,46.9,10.9,0.4
kachawh01,Whitey Kachan,,52,2.2,,0.7,26.8,,64.3,,,0.7
kalaige01,Georgios Kalaitzakis,,13,6.6,1.6,0.9,46.3,38.5,46.7,53.7,8.6,-0.1
kalkbry01,Ryan Kalkbrenner,1.0,69,7.6,5.5,0.8,75.3,0.0,71.6,75.3,17.9,5.7
kaminfr01,Frank Kaminsky,,413,8.8,3.8,1.6,43.0,34.9,74.6,50.1,14.2,15.9
kanteen01,Enes Freedom,,748,11.2,7.8,0.9,54.8,28.9,77.7,55.1,20.8,52.8
kaplora01,Ralph Kaplowitz,,105,5.6,,0.5,26.3,,74.9,,,5.2
kaponja01,Jason Kapono,,509,6.7,1.7,0.8,44.2,43.4,83.5,51.7,10.5,10.3
kaunsa01,Sasha Kaun,,25,0.9,1.0,0.1,52.9,,45.5,52.9,12.5,0.2
kawamyu01,Yuki Kawamura,2.0,40,2.5,1.1,1.7,34.1,30.0,85.7,45.1,11.3,0.5
keelstr01,Trevor Keels,2.0,11,1.0,0.4,0.0,25.0,23.1,,34.4,3.1,-0.1
kellebi01,Bill Keller,,556,11.8,2.4,3.6,42.5,33.8,87.2,46.9,15.1,30.1
kelleky01,Kylor Kelley,1.0,11,3.1,3.5,0.5,63.6,,60.0,63.6,12.1,0.3
kellyar01,Arvesta Kelly,,188,8.0,2.6,1.8,44.5,25.3,63.7,46.4,9.9,5.6
kellymi02,Miles Kelly,1.0,14,3.1,1.7,0.9,36.4,30.3,100.0,47.7,8.2,0.0
kendrfr01,Frank Kendrick,,24,3.3,1.5,0.3,40.3,,81.8,,20.3,0.3
kennalu01,Luke Kennard,9.0,538,9.6,2.8,2.3,46.6,44.2,88.5,59.5,13.0,28.1
kenonla01,Larry Kenon,,752,17.2,8.9,2.2,48.7,14.3,78.4,48.7,17.0,58.5
kentja01,Jayson Kent,1.0,5,2.0,1.0,0.0,57.1,25.0,100.0,64.3,17.3,0.1
kenvibi01,Billy Kenville,,345,7.1,3.5,2.1,36.3,,75.8,,13.7,13.7
kerrre01,Red Kerr,,905,13.8,11.2,2.2,41.8,,72.3,,16.8,61.8
kerrst01,Steve Kerr,,910,6.0,1.2,1.8,47.9,45.4,86.4,56.4,13.1,47.2
